Ref,Val,Package,PosX,PosY,Rot,Side
"J50","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",85.500000,-97.000000,0.000000,top
"J52","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",113.000000,-120.410000,-90.000000,top
"J54","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",110.750000,-97.000000,0.000000,top
"J56","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",138.525000,-120.180000,-90.000000,top
"J58","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",136.000000,-97.000000,0.000000,top
"J60","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",163.775000,-120.180000,-90.000000,top
"J62","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",161.250000,-97.000000,0.000000,top
"J64","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",189.025000,-120.180000,-90.000000,top
"J66","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",186.500000,-97.000000,0.000000,top
"J68","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",214.275000,-120.180000,-90.000000,top
"J70","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",211.750000,-97.000000,0.000000,top
"RV1","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",23.060000,-24.320000,0.000000,top
"RV2","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",50.717000,-24.320000,0.000000,top
"RV3","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",78.374000,-24.320000,0.000000,top
"RV4","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",106.031000,-24.320000,0.000000,top
"RV5","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",133.688000,-24.320000,0.000000,top
"RV6","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",161.345000,-24.320000,0.000000,top
"RV7","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",189.002000,-24.320000,0.000000,top
"RV8","R_Potentiometer_MountingPin","Potentiometer_Alps_RK09K_Single_Vertical",216.659000,-24.320000,0.000000,top
